Small Arms						Heavy Arms						Heavy Ammunition			Utility						Medical			Resource			Uniforms		
	x	30		x	10		x	20		x	30			0		x	20		x	30		x	50		x	10		x	20
	x	20		x	5		x	40		x	50			0		x	30		x	30		x	30		x	20		x	10
	x	45		x	5		x	10			0			0		x	20		x	40		x	30		x	600		x	10
	x	15		x	100		x	20		x	5		x	45		x	10		x	50		x	50			0		x	20
	x	60		x	5		x	40		x	15		x	75		x	10		x	75		x	200			0		x	20
		0		x	5		x	15		x	30			0		x	5		x	15						0		x	20
		0		x	20		x	20		x	60			0		x	20		x	50								x	20
		0		x	50		x	6						0		x	5		x	25	Pojady SZTUKI								
		0		x	100		x	5						0		x	15	Kontenery SZTUKI				x	9		x	9		x	9
		0		x	20		x	15								x	5		x	10		x	5		x	5			0
	x	30		x	60		x	15								x	40		x	10		x	8		x	3			0
	x	50		x	30		x	30								x	20		x	10		x	3		x	10			0
